inspection_id,make,model,registration_year,variant
in791020221022130319,Hyundai,Elantra,2012,Hyundai Elantra CRDI 1.6 (1582CC) diesel
in323020220607035248,Hyundai,Santa Fe,2011,Hyundai Santa Fe 4 WD (2199CC) diesel
in441920221103073141,Hyundai,Santro Xing,2014,Hyundai Santro Xing Erlx XO (1086CC) petrol
in432320221020040023,Hyundai,Venue,2019,Hyundai Venue 1.0 SX Plus Turbo GDI DCT (998CC) petrol
in186020221020033643,Hyundai,i20,2019,Hyundai i20 Magna (1197CC) petrol
in894420221020044608,Hyundai,Grand i10,2018,Hyundai Grand i10 Sportz (1197CC) petrol
in425920221022063706,Hyundai,Verna,2020,Hyundai Verna 1.5 VTVT SX (1497CC) petrol
in992420221020025023,Hyundai,Creta,2021,Hyundai Creta VTVT SX (1591CC) petrol
in297020221020031227,Hyundai,i10,2016,Hyundai i10 1.2L KAPPA SPORTZ GLS AT (1197CC) petrol
in199420221020032530,Hyundai,i10,2012,Hyundai i10 Sportz (1197CC) petrol
in872920221020041820,Hyundai,Eon,2015,Hyundai Eon Magna (814CC) petrol
in133220221020042943,Hyundai,Grand i10 Nios,2020,Hyundai Grand i10 Nios AMT Sportz (1197CC) petrol
in672520221020043246,Hyundai,i20,2015,Hyundai i20 Asta (1197CC) petrol
in883520221020043456,Hyundai,Venue,2021,Hyundai Venue 1.2 S (1197CC) petrol
in732620221020044743,Hyundai,i20,2016,Hyundai i20 Asta 1.4 CRDI (1396CC) diesel
in882920220711053619,Hyundai,Santro (2019),NA,Hyundai Santro XL (1086CC) petrol
in843620221020050747,Hyundai,Creta,2022,Hyundai Creta 1.5 E Petrol (1497CC) petrol
in500220221020051435,Hyundai,i20,2018,Hyundai i20 Elite 1.2 Magna Kappa Dual Vtvt 5-Speed Manual Petrol (1197 Cc) (1197CC) petrol
in149820221020051751,Hyundai,Creta,2021,Hyundai Creta SX (O) 1.5 (1493CC) diesel
in678420221020052519,Hyundai,i20,2019,Hyundai i20 Sportz (1197CC) petrol
in514520221020053157,Hyundai,Verna,2014,Hyundai Verna CRDI SX (1493CC) diesel
in247520221020061803,Hyundai,Venue,2021,Hyundai Venue 1.2 S Plus (1197CC) petrol
in795020221020062151,Hyundai,Eon,2015,Hyundai Eon Magna Plus (998CC) petrol
in957220221020062534,Hyundai,i10,2012,Hyundai i10 Sportz AT (1197CC) petrol
in887420221020062620,Hyundai,Grand i10,2017,Hyundai Grand i10 Era (1197CC) petrol
in435120221020062749,Hyundai,i10,2016,Hyundai i10 Magna (1086CC) petrol
in607020221020073938,Hyundai,Elite i20,2017,Hyundai Elite i20 Sportz (1197CC) petrol
in293720221020081912,Hyundai,Santa Fe,2014,Hyundai Santa Fe 2WD AT (2199CC) diesel
in627320221020082243,Hyundai,Verna,2019,Hyundai Verna CRDI (1493CC) diesel
in532920221020085614,Hyundai,Fluidic Verna,2012,Hyundai Fluidic Verna 1.6 CRDI SX (1582CC) diesel
in834020221020090038,Hyundai,Xcent,2016,Hyundai Xcent S Option (1120CC) diesel
in810420221020090153,Hyundai,Creta,2017,Hyundai Creta CRDI S (1396CC) diesel
in889220221020090728,Hyundai,Xcent,2014,Hyundai Xcent S (1197CC) petrol
in286920221020092528,Hyundai,Verna,2016,Hyundai Verna 1.6 VTVT SX Plus AT (1591CC) petrol
in988320221020094034,Hyundai,Sonata,2013,Hyundai Sonata GDI AT (2359CC) petrol
in238920221020094709,Hyundai,Verna,2017,Hyundai Verna 1.6 VTVT S AT (1591CC) petrol
in882720221020102308,Hyundai,Verna,2014,Hyundai Verna 1.6 SX CRDI (1599CC) diesel
in486220221020104259,Hyundai,Grand i10 Nios,2020,Hyundai Grand i10 Nios Magna (1197CC) petrol
in114420221020110001,Hyundai,Creta,2017,Hyundai Creta SX 1.6 CRDI (1582CC) diesel
in513220221020111050,Hyundai,Creta,2016,Hyundai Creta CRDI SX Plus (1582CC) diesel
in928020221020111751,Hyundai,New Elite i20,2019,Hyundai New Elite i20 Sportz 1.2 CVT (1197CC) petrol
in418820221020115742,Hyundai,Aura,2021,Hyundai Aura 1.2 S AMT Petrol (1197CC) petrol
in177820221020132828,Hyundai,Xcent,2016,Hyundai Xcent Base (1120CC) diesel
in946320221020150130,Hyundai,Venue,NA,Hyundai Venue 1.5 SX(O) Executive (1493CC) diesel
in617320221021032427,Hyundai,Fluidic Verna,2012,Hyundai Fluidic Verna 1.6 VTVT EX (1591CC) petrol
in100720221021035513,Hyundai,Tucson,2017,Hyundai Tucson 2WD AT GLS Diesel (1995CC) diesel
in387720221021042257,Hyundai,Grand i10,2016,Hyundai Grand i10 Magna (1197CC) petrol
in227320221021050715,Hyundai,i20,2020,Hyundai i20 Magna 1.4 CRDI (1396CC) diesel
in671020221021051108,Hyundai,Venue,2020,Hyundai Venue 1.4 SX(O) CRDi (1396CC) diesel
in609920221021051417,Hyundai,Elantra,2014,Hyundai Elantra 1.8 S PETROL (1797CC) petrol
in528720221021052132,Hyundai,i20,2016,Hyundai i20 Magna (1396CC) diesel
in332220221021052536,Hyundai,i20,2013,Hyundai i20 Asta (1396CC) diesel
in984720220827073350,Hyundai,Santro (2019),NA,Hyundai Santro GLS (1086CC) internal_lpg_cng
in213820221021060136,Hyundai,i10,2015,Hyundai i10 Sportz (1086CC) petrol
in367920221021060351,Hyundai,i10,2017,Hyundai i10 1.1 SPORTZ GLS (1086CC) petrol
in857820221021064209,Hyundai,Creta,2020,Hyundai Creta CRDi E Plus (1396CC) diesel
in868020221021064520,Hyundai,i10,2012,Hyundai i10 Magna (1086CC) internal_lpg_cng
in777920221021064619,Hyundai,Creta,2016,Hyundai Creta 1.6 VTVT EX (1591CC) petrol
in708220221021065137,Hyundai,Creta,2016,Hyundai Creta VTVT SX Plus (1591CC) petrol
in136120221021072210,Hyundai,Verna,2019,Hyundai Verna 1.6 VTVT SX (1591CC) petrol
in521820221021074657,Hyundai,Verna,2008,Hyundai Verna VGT (1493CC) diesel
in377420221021083646,Hyundai,Grand i10,2018,Hyundai Grand i10 Magna AT 1.2 Kappa VTVT (1197CC) petrol
in134920221021083933,Hyundai,Xcent,2016,Hyundai Xcent Base T+CNG(N MET) (1197CC) internal_lpg_cng
in629020221021084330,Hyundai,Eon,2013,Hyundai Eon Era (814CC) petrol
in735420221021085226,Hyundai,i20,2018,Hyundai i20 1.2 ASTA O (1197CC) petrol
in391420221021085841,Hyundai,Grand i10,2015,Hyundai Grand i10 Asta (1197CC) petrol
in323820221021090735,Hyundai,Eon,2017,Hyundai Eon ERA PLUS O (814CC) petrol
in517520221021091330,Hyundai,Xcent,2015,Hyundai Xcent S (1120CC) diesel
in308120221021092331,Hyundai,Xcent,2014,Hyundai Xcent S CRDi (1186CC) diesel
in603220221021095736,Hyundai,i20,2016,Hyundai i20 Asta Option (1197CC) petrol
in806320221102115844,Hyundai,Santro,2021,Hyundai Santro GLS (999CC) petrol
in308820221021110926,Hyundai,Verna,2014,Hyundai Verna 1.6 VTVT (1591CC) petrol
in171520221021162256,Hyundai,Eon,2013,Hyundai Eon D-Lite (814CC) petrol
in131220221022034632,Hyundai,Grand i10,2016,Hyundai Grand i10 Sportz 1.1 CRDi (1120CC) diesel
in507820221022034748,Hyundai,Creta,2017,Hyundai Creta 1.6 Sx Plus At Petrol (1591 Cc) (1591CC) petrol
in797620221022040052,Hyundai,Verna,2017,Hyundai Verna Fluidic 1.6 VTVT SX (1591CC) petrol
in627620221022041536,Hyundai,i10,2011,Hyundai i10 Magna (1197CC) petrol
in998320221022041728,Hyundai,Grand i10,2016,Hyundai Grand i10 1.1 BASE (1120CC) diesel
in212020221022050324,Hyundai,Grand i10,2013,Hyundai Grand i10 Asta (1120CC) diesel
in841420221022050721,Hyundai,Grand i10,2014,Hyundai Grand i10 Asta 1.2 Bsiv (1197 Cc) (1197CC) petrol
in797720221022053325,Hyundai,Verna,2020,Hyundai Verna 1.6 CRDI SX (1582CC) diesel
in420820221022060458,Hyundai,Verna,2018,Hyundai Verna 1.6 VTVT SX (O) (1591CC) petrol
in397220221022062944,Hyundai,Tucson,2017,Hyundai Tucson 2.0 Dual VTVT 2WD AT GL (1999CC) petrol
in586620221022063203,Hyundai,i10,2015,Hyundai i10 1.1 SPORTZ GLS AT (1086CC) petrol
in425920221022063706,Hyundai,Verna,2020,Hyundai Verna 1.5 VTVT SX (1497CC) petrol
in941320221022065642,Hyundai,Accent,2011,Hyundai Accent Executive (1495CC) petrol
in746720221022074236,Hyundai,i10,2011,Hyundai i10 Era (1086CC) petrol
in774620221022084220,Hyundai,Verna,2013,Hyundai Verna VTVT 1.6 (1599CC) petrol
in850520221022091200,Hyundai,Verna,2012,Hyundai Verna 1.4 CRDI E (1396CC) diesel
in638220221022091745,Hyundai,Verna,2020,Hyundai Verna 1.5 VTVT SX IVT (1497CC) petrol
in580620221022092035,Hyundai,Creta,2016,Hyundai Creta CRDI SX Plus AT (1582CC) diesel
in543020221022103429,Hyundai,Grand i10,2017,Hyundai Grand i10 1.2 Sportz AT Kappa VTVT (1197CC) petrol
in622220221022110358,Hyundai,Creta,2022,Hyundai Creta SX IVT (1497CC) petrol
in409620221022111601,Hyundai,i20,2021,Hyundai i20 Sportz 1.2 BS-IV (1197CC) petrol
in901320221022113147,Hyundai,Xcent,2014,Hyundai Xcent SX CRDi (O) (1186CC) diesel
in358820221023053546,Hyundai,Xcent,2018,Hyundai Xcent Base ABS 1.1 CRDi (1120CC) diesel
in266520221023055003,Hyundai,Elite i20,2016,Hyundai Elite i20 Asta 1.2 (O) (1197CC) petrol
in265920221023055827,Hyundai,Grand i10,2016,Hyundai Grand i10 Asta AT (1197CC) petrol
in819520221023060857,Hyundai,Xcent,2016,Hyundai Xcent VTVT S (1197CC) petrol
in339420221023061511,Hyundai,Grand i10,2017,Hyundai Grand i10 Sports Optional 1.2 (1120CC) petrol
in223220221023091249,Hyundai,Grand i10 Nios,2020,Hyundai Grand i10 Nios Sportz (1197CC) petrol
in989120221023094004,Hyundai,Verna,2008,Hyundai Verna VGT Sx (1493CC) diesel
in820720221023110806,Hyundai,Grand i10,2018,Hyundai Grand i10 Magna AT (1197CC) petrol
in123520221023133231,Hyundai,Eon,2017,Hyundai Eon Era Plus (814CC) petrol
in992020221004081906,Hyundai,Santro,2021,Hyundai Santro Xing GL (1086CC) petrol
in663520221024051434,Hyundai,Elite i20,2017,Hyundai Elite i20 1.2 ASTA DUAL TONE (1197CC) petrol
in440320221024054511,Hyundai,Creta,2020,Hyundai Creta 1.4 E Plus (1396 Cc) (1396CC) diesel
in386520221024061004,Hyundai,i20,2017,Hyundai i20 ACTIVE 1.2 KAPPA VTVT (1197CC) petrol
in793620221024074246,Hyundai,Creta,2021,Hyundai Creta 1.6 E Petrol (1591 Cc) (1591CC) petrol
in191320221024074339,Hyundai,Xcent,2017,Hyundai Xcent VTVT PRIME T+ (1197CC) internal_lpg_cng
in759620221024081952,Hyundai,Grand i10,2016,Hyundai Grand i10 Magna 1.2 Kappa VTVT (1197CC) petrol
in121720221024091217,Hyundai,The Next Gen Verna,2018,Hyundai The Next Gen Verna SX (1591CC) petrol
in670720221024092131,Hyundai,Eon,2012,Hyundai Eon D-Lite Plus (814CC) petrol
in294620221024092324,Hyundai,Fluidic Verna,2016,Hyundai Fluidic Verna 1.4 VTVT (1396CC) petrol
in124320221024095932,Hyundai,Verna,2014,Hyundai Verna 1.6 CRDI ABS (1599CC) diesel
in970820221024100813,Hyundai,Creta,2016,Hyundai Creta CRDI SX (1582CC) diesel
in975520221024102023,Hyundai,Grand i10,2018,Hyundai Grand i10 Sportz 1.2 Kappa VTVT (1197CC) petrol
in589120221024105522,Hyundai,Fluidic Verna,2012,Hyundai Fluidic Verna 1.6 VTVT SX (1591CC) petrol
in551920221024110959,Hyundai,i10,2010,Hyundai i10 1.2 MAGNA GL (1197CC) petrol
in429220221025035146,Hyundai,Grand i10,2018,Hyundai Grand i10 Sportz AT (1197CC) petrol
in240920221025043255,Hyundai,Elantra,2016,Hyundai Elantra 2.0 SX O AT (1999CC) petrol
in512320221025050144,Hyundai,Elite i20,2017,Hyundai Elite i20 Magna (1197CC) petrol
in459720221025052604,Hyundai,i10,2008,Hyundai i10 Era 1.1 iRDE2 (1086CC) petrol
in920520221025054339,Hyundai,Elite i20,2015,Hyundai Elite i20 Asta (1396CC) diesel
in782320221025061259,Hyundai,Creta,2018,Hyundai Creta SX 1.6 AT CRDI (1582CC) diesel
in559020221025065318,Hyundai,I20 (2020),2022,Hyundai I20 (2020) 1.2 Asta(O) Kappa IVT (1197CC) petrol
in766920221025071655,Hyundai,Santa Fe,2015,Hyundai Santa Fe 2WD MT NEW (2199CC) diesel
in450820221025072204,Hyundai,i20,2012,Hyundai i20 Sportz (1396CC) diesel
in638620221025073505,Hyundai,Xcent,2014,Hyundai Xcent SX (1197CC) petrol
in516820221025074239,Hyundai,Fluidic Verna,2012,Hyundai Fluidic Verna 1.6 VTVT S Option AT (1591CC) petrol
in922420221025075724,Hyundai,Creta,2016,Hyundai Creta VTVT 1.6 SX AT (1591CC) petrol
in479120221030044621,Hyundai,Santro,2020,Hyundai Santro Sportz (1086CC) petrol
in449120221025085456,Hyundai,Venue,2021,Hyundai Venue 1.5 S (1493CC) diesel
in291620221025092906,Hyundai,Elantra,2018,Hyundai Elantra 2.0 S (1999CC) petrol
in605020221025095831,Hyundai,Eon,2016,Hyundai Eon MAGNA + BSIV (814CC) petrol
in492220221025081240,Hyundai,Santro,2019,Hyundai Santro GS (1086CC) petrol
in605520221025101410,Hyundai,i20,2011,Hyundai i20 Sportz (1197CC) diesel
in922720221025103732,Hyundai,Verna,2018,Hyundai Verna 1.6 CRDI SX (O) (1582CC) diesel
in470920221026042858,Hyundai,Venue,2019,Hyundai Venue 1.4 SX CRDi (1396CC) diesel
in673620221026052742,Hyundai,Verna,2011,Hyundai Verna CRDI E (1582CC) diesel
in605420221026061845,Hyundai,Eon,2014,Hyundai Eon Magna Plus (814CC) petrol
in886520221026063230,Hyundai,Eon,2015,Hyundai Eon ERA + S (814CC) petrol
in389220221026070252,Hyundai,i10,2011,Hyundai i10 Sportz 1.2 Kappa2 (O) (1197CC) petrol
in394420221026073300,Hyundai,Creta,2021,Hyundai Creta SX (O) 1.5 AT (1493CC) diesel
in885620221026081452,Hyundai,Creta,2019,Hyundai Creta 1.4 E (1396 Cc) (1396CC) diesel
in384920221026085359,Hyundai,Creta,2020,Hyundai Creta SX (O) 1.5 CVT (1497CC) petrol
in974720221026095446,Hyundai,i10,2012,Hyundai i10 Asta (1197CC) petrol
in453120221026100544,Hyundai,i20,2013,Hyundai i20 Sportz 1.4 CRDI (1396CC) diesel
in669720221026104507,Hyundai,Xcent,2015,Hyundai Xcent S Option MT (1197CC) petrol
in794120221026110638,Hyundai,Santro,2019,Hyundai Santro Base (1086CC) petrol
in641320221027050436,Hyundai,Venue,2022,Hyundai Venue 1.0 SX(O) iMT Petrol (2022) (998CC) petrol
